wall = float32(2.5)
dirt = float32(0.75)
grass = float32(1.0)
wood = float32(1.25)
tigerColour = float32(1.75)
deerColour = float32(0.25)

epoch,name,fitness,DNA
2,DOMINIC,30,0101100010100111010110000101111111000000101110001100100111111100111001111001101011110000000111111011
2,TIMOTHY,94,1001110100010010111000001111101011000000100100111000101011011111000011000011001000001110110100001000
2,ENRIQUE,54,1110110000101010101110000000111100101010000100001110101001010000011001111011111001111111101101001111
2,THERESA,33,1000010100111101001100111101111000101010010110110101001100001010110011001101111111100001011100100010
2,CLAIRE,63,0101110100010010111000001111101010000000100100111000101011011111000011000011001000001110110100001000
2,DIANNA,115,1001101010100101010110000101111101000000101110001100100111111101111011101001101011110000000111111011
3,MACK,57,1110110000101010101110000000111100101010000000001110101011010000011001111011111001111111101101001111
3,ROLY,109,1110110000101010101010000000101011000000100000110000101010011111000011000001001001001010010100001000
3,JERMAINE,40,1001110100010010111000001111101100101010000000001110101001010000011001011011111001111111101100001110
3,LUCILLE,45,1110110000101010101110000000111100101010000100001110101001010001000011000001001001001010010100001000
3,ARMANDO,37,1001101010100101000110000101111101000000111110001100100111111101110010101011111011110000000111111011
3,PIERRE,86,0110010100010011111000001111101011000000100100111000101011011101000011000011001000001000110100000000
4,EILEEN,57,0101110100010010111000001111101010000000100100111000001011111111000011000011001000001110110100001000
4,CODY,45,0101100010100111010110000101011101000000101110001100100111111101011011111011101010111000001111111011
4,OLI,45,1110110000101010101110000000111100111010000000001110101011010000011001111010111001111111101101001111
4,FILIPE,76,0101111100010010111000001111101010000100100100110000100111111101111011111001101111110000000111011011
4,ALLAN,74,0101100011100111010110000101111001100000101111000100101011001101000011000011001100001110110100001011
4,THERESA,51,1001100010110101010110000101101001000010101110001100100011110101111011101001000011110000001111111111
4,RANDY,82,0101110100010110111000001111101010000000110100111000001011111111000011000011001000001110110100001000
4,JULIO,66,0001111010100101010110000101111101000000100110001100101111110101011011100101001011010000000111110011
4,CHARLIE,63,0101000000100111000110000101111001100000101111000100001010001101001011000011011100101111111100001010
4,WINSTON,55,1100100011001101010110000101111101000010101111001100100111111101111011111001101000110000000101110011
5,CLEVELAND,97,1001101010100101010110000101011100000000111110101100100011111101111010101001101110110000000111111011
5,SETH,108,0101101100010010111000001111101010000100100100010000100101011101111011111001001111110010000111011011
6,MILDRED,96,0101101100010010111000001111101010000100100100010000100101011101111011111001001111110010000111111011
6,TRACY,85,1001101010100101010110000101011100000000111110101100100011111101111011101001101011110000000111111011
7,EMILY,96,1001101010100111011010000101100100110011111110010101100101100101100101011000001011111000001111110011
7,ANGELA,98,0110111100010110111000011111101011000000100100110100111011011111000011000011001100000001111101000001
8,HERSCHEL,84,1000111010110101011110000100001100000001111110101100100010101101101001111000100110100001000111111011
9,PIERRE,107,1001101010100101010110000101011100000000101110001100100111111101111011101001101011110000000111111011
10,CRYSTAL,114,0101101100010010101000001111101010100100100110010000101101011110101011110001001111100010000001011101
10,PHIL,87,0110010100010010111000001110100011011000100100110100101011011110000011001011001100000011110001011101
10,GRANT,87,1001101010100101011110001010011100000100101111000100100101111101110011101001011011111000000111111001
11,TERRANCE,96,0101101100010010111000001111101010000100000000010101100101011100100011000000111001001011010100111100
